Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,18/10/2020 16:04:22
Disarm Time,18/10/2020 16:37:29
Duration,00:33:07
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
18/10/2020 16:04:25,Interval,11.69,29.37,55.5,0.33,13.93,266.0,269.0
18/10/2020 16:04:26,Interval,10.78,29.14,55.0,0.32,13.93,266.0,268.0
18/10/2020 16:04:27,Interval,10.81,29.21,55.3,0.31,13.93,266.0,267.0
18/10/2020 16:04:28,Interval,11.25,29.22,54.9,0.32,13.93,266.0,267.0
18/10/2020 16:04:29,Interval,11.28,28.64,54.4,0.29,13.93,266.0,271.0
18/10/2020 16:04:30,Interval,11.36,28.47,54.1,0.26,13.93,266.0,272.0
18/10/2020 16:04:31,Interval,11.03,28.73,54.7,0.28,13.93,266.0,274.0
18/10/2020 16:04:32,Interval,11.00,28.84,54.6,0.31,13.93,266.0,275.0
18/10/2020 16:04:33,Interval,11.21,28.89,54.9,0.30,13.93,266.0,278.0
18/10/2020 16:04:34,Interval,11.41,28.93,54.7,0.30,13.93,266.0,276.0
18/10/2020 16:04:35,Interval,11.07,29.00,54.9,0.29,13.93,266.0,275.0
18/10/2020 16:04:36,Interval,10.97,28.77,54.6,0.29,13.93,266.0,276.0
18/10/2020 16:04:37,Interval,11.15,28.84,54.1,0.31,13.93,266.0,274.0
18/10/2020 16:04:38,Interval,10.95,28.37,53.6,0.31,13.93,266.0,274.0
18/10/2020 16:04:39,Interval,11.23,28.41,53.8,0.33,13.93,266.0,274.0
18/10/2020 16:04:40,Interval,11.30,28.51,53.6,0.29,13.93,266.0,272.0
18/10/2020 16:04:41,Interval,11.14,28.59,53.9,0.32,13.93,266.0,272.0
18/10/2020 16:04:42,Interval,11.23,28.55,54.0,0.32,13.93,266.0,272.0
18/10/2020 16:04:43,Interval,11.50,28.65,54.2,0.35,13.93,266.0,270.0
18/10/2020 16:04:44,Interval,11.72,28.85,54.2,0.32,13.93,266.0,268.0
18/10/2020 16:04:45,Interval,12.02,28.83,54.4,0.33,13.93,266.0,274.0
18/10/2020 16:04:46,Interval,12.20,29.17,54.8,0.37,13.93,266.0,271.0
18/10/2020 16:04:47,Interval,12.17,29.59,56.3,0.36,13.93,266.0,269.0
18/10/2020 16:04:48,Interval,12.00,30.19,56.5,0.35,13.93,266.0,269.0
18/10/2020 16:04:49,Interval,12.73,30.17,56.5,0.38,13.93,266.0,274.0
18/10/2020 16:04:50,Interval,12.00,29.90,56.2,0.33,13.93,266.0,270.0
18/10/2020 16:04:51,Interval,11.72,29.69,56.0,0.33,13.93,266.0,271.0
18/10/2020 16:04:52,Interval,11.45,29.59,55.6,0.34,13.93,266.0,273.0
18/10/2020 16:04:53,Interval,11.41,29.41,55.6,0.31,13.93,266.0,276.0
18/10/2020 16:04:54,Interval,11.61,29.56,55.9,0.31,13.93,266.0,271.0
18/10/2020 16:04:55,Interval,11.39,29.71,55.8,0.29,13.93,266.0,271.0
18/10/2020 16:04:56,Interval,11.77,29.66,55.7,0.33,13.93,266.0,271.0
18/10/2020 16:04:57,Interval,11.83,30.12,57.2,0.32,13.93,266.0,273.0
18/10/2020 16:04:58,Interval,11.90,30.63,57.6,0.32,13.93,266.0,272.0
18/10/2020 16:04:59,Interval,11.46,30.64,57.6,0.34,13.93,266.0,269.0
18/10/2020 16:05:00,Interval,11.55,30.53,57.5,0.33,13.93,266.0,265.0
18/10/2020 16:05:01,Interval,11.74,30.85,58.1,0.34,13.93,266.0,265.0
18/10/2020 16:05:02,Interval,11.60,30.82,57.8,0.35,13.93,266.0,265.0
18/10/2020 16:05:03,Interval,11.82,30.72,57.5,0.31,13.93,266.0,266.0
18/10/2020 16:05:04,Interval,11.40,30.08,56.9,0.28,13.93,266.0,265.0
18/10/2020 16:05:05,Interval,11.17,30.28,57.1,0.30,13.90,266.0,269.0
18/10/2020 16:05:06,Interval,11.03,30.19,57.3,0.31,13.93,266.0,271.0
18/10/2020 16:05:07,Interval,11.50,31.15,58.9,0.33,13.93,266.0,274.0
18/10/2020 16:05:08,Interval,11.55,31.51,59.3,0.37,13.93,266.0,268.0
18/10/2020 16:05:09,Interval,11.34,31.49,59.2,0.32,13.93,266.0,271.0
18/10/2020 16:05:10,Interval,11.31,31.49,59.2,0.33,13.93,266.0,272.0
18/10/2020 16:05:11,Interval,10.94,31.51,59.0,0.31,13.93,266.0,272.0
18/10/2020 16:05:12,Interval,10.73,31.44,59.3,0.34,13.93,266.0,270.0
18/10/2020 16:05:13,Interval,10.61,31.28,58.9,0.30,13.93,266.0,270.0
18/10/2020 16:05:14,Interval,10.65,31.29,58.9,0.30,13.93,266.0,270.0
18/10/2020 16:05:15,Interval,10.61,31.17,58.6,0.30,13.93,266.0,271.0
18/10/2020 16:05:16,Interval,10.84,31.14,58.6,0.30,13.93,266.0,271.0
18/10/2020 16:05:17,Interval,10.40,31.11,59.1,0.24,13.93,266.0,276.0
18/10/2020 16:05:18,Interval,10.13,31.59,60.1,0.24,13.93,266.0,271.0
18/10/2020 16:05:19,Interval,10.34,31.80,60.2,0.29,13.93,266.0,270.0
18/10/2020 16:05:20,Interval,10.58,32.16,60.6,0.28,13.93,266.0,267.0
18/10/2020 16:05:21,Interval,11.15,32.18,60.6,0.31,13.93,266.0,268.0
