0.844,3.7,A,150.0,0.0,100.0,100.0
0.948,3.7,A,150.0,0.0,100.0,100.0
1.052,3.7,A,150.0,0.0,100.0,100.0
1.156,3.7,A,150.0,0.0,100.0,100.0
1.26,3.7,A,150.0,0.0,100.0,100.0
1.364,3.7,A,150.0,0.0,100.0,100.0
1.468,3.7,A,150.0,0.0,100.0,100.0
1.572,3.7,A,150.0,0.0,100.0,100.0
1.676,3.7,A,150.0,0.0,100.0,100.0
1.78,4.2,A,150.0,0.0,100.0,100.0
1.884,4.2,A,150.0,0.0,100.0,100.0
1.988,4.2,A,150.0,0.0,100.0,100.0
2.092,4.8,A,150.0,0.0,100.0,100.0
2.196,4.8,A,150.0,0.0,100.0,100.0
2.3,4.8,A,150.0,0.0,100.0,100.0
2.404,4.8,A,150.0,0.0,100.0,100.0
2.508,4.9,A,150.0,0.0,100.0,100.0
2.612,4.9,A,150.0,0.0,100.0,100.0
2.716,4.9,A,150.0,0.0,100.0,100.0
2.82,4.8,A,150.0,0.0,100.0,100.0
2.924,4.8,A,150.0,0.0,100.0,100.0
3.028,4.8,A,150.0,0.0,100.0,100.0
3.132,4.8,A,150.0,0.0,100.0,100.0
3.236,4.9,A,150.0,0.0,100.0,100.0
3.34,4.9,A,150.0,0.0,100.0,100.0
3.444,4.9,A,150.0,0.0,100.0,100.0
3.548,4.9,A,150.0,0.0,100.0,100.0
3.652,4.9,A,150.0,0.0,100.0,100.0
3.756,4.9,A,150.0,0.0,100.0,100.0
3.86,4.9,A,150.0,0.0,100.0,100.0
3.964,5.0,A,150.0,0.0,100.0,100.0
4.068,5.0,A,150.0,0.0,100.0,100.0
4.172,5.0,A,150.0,0.0,100.0,100.0
4.276,5.0,A,150.0,0.0,100.0,100.0
4.38,5.0,A,150.0,0.0,100.0,100.0
4.484,5.0,A,150.0,0.0,100.0,100.0
4.588,5.0,A,150.0,0.0,100.0,100.0
4.692,5.0,A,150.0,0.0,100.0,100.0
4.796,5.0,A,150.0,0.0,100.0,100.0
4.9,5.0,A,150.0,0.0,100.0,100.0
5.004,5.1,A,150.0,0.0,100.0,100.0
5.108,5.1,A,150.0,0.0,100.0,100.0
5.212,5.1,A,150.0,0.0,100.0,100.0
5.316,5.4,A,150.0,0.0,100.0,100.0
5.42,5.4,A,150.0,0.0,100.0,100.0
