Logger Details:
Logger Type,2F8
Serial Number,KS1312011
Controller Firmware,5.3
Acquisition Firmware,5.1
Logger ID,Wind Turbine SQ2020

Job Details
Number of Analogue Channels,7
Number of Digital Channels,0
Total Number of Channels Used,7

Arm Time,07/10/2020 15:32:13
Disarm Time,07/10/2020 16:02:03
Duration,00:29:50
Job Description,Wind Turbine Logger

Channel Info
Description,,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
Sample Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
Logging Interval,,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01,00:00:01
 
Date/Time,Type,Wind Speed (MPH),Shaft Speed (RPM),Gen Voltage (VDC),Gen Current (ADC),Battery Voltage (V),Nacelle Yaw (Degrees),Wind Direction (Degrees)
07/10/2020 15:32:15,Interval,11.63,28.90,52.7,0.26,13.00,271.0,262.0
07/10/2020 15:32:16,Interval,12.37,28.62,52.6,0.29,13.00,271.0,260.0
07/10/2020 15:32:17,Interval,12.44,28.76,52.6,0.26,13.01,271.0,262.0
07/10/2020 15:32:18,Interval,11.75,28.49,52.2,0.24,13.03,271.0,267.0
07/10/2020 15:32:19,Interval,11.44,28.46,52.4,0.21,13.04,271.0,260.0
07/10/2020 15:32:20,Interval,11.86,28.29,52.3,0.23,13.04,271.0,258.0
07/10/2020 15:32:21,Interval,12.17,28.50,52.4,0.25,13.05,271.0,256.0
07/10/2020 15:32:22,Interval,12.01,28.35,52.1,0.24,13.05,271.0,254.0
07/10/2020 15:32:23,Interval,11.43,28.20,51.9,0.23,13.05,271.0,251.0
07/10/2020 15:32:24,Interval,11.32,27.85,51.4,0.21,13.04,271.0,254.0
07/10/2020 15:32:25,Interval,10.49,27.65,51.0,0.17,13.04,271.0,254.0
07/10/2020 15:32:26,Interval,9.44,27.23,50.5,0.15,13.04,271.0,254.0
07/10/2020 15:32:27,Interval,9.36,27.13,50.4,0.13,13.05,271.0,259.0
07/10/2020 15:32:28,Interval,9.36,27.11,50.5,0.16,13.06,271.0,261.0
07/10/2020 15:32:29,Interval,10.17,27.23,50.9,0.18,13.09,271.0,262.0
07/10/2020 15:32:30,Interval,10.11,28.07,52.3,0.24,13.11,271.0,254.0
07/10/2020 15:32:31,Interval,10.95,28.96,53.2,0.28,13.12,271.0,252.0
07/10/2020 15:32:32,Interval,11.65,29.43,54.5,0.27,13.14,271.0,257.0
07/10/2020 15:32:33,Interval,12.68,30.69,55.8,0.34,13.15,271.0,261.0
07/10/2020 15:32:34,Interval,13.28,29.90,54.8,0.28,13.17,271.0,254.0
07/10/2020 15:32:35,Interval,13.29,29.95,55.2,0.32,13.18,271.0,256.0
07/10/2020 15:32:36,Interval,12.54,30.26,55.2,0.31,13.19,271.0,252.0
07/10/2020 15:32:37,Interval,12.51,30.17,55.6,0.31,13.20,271.0,257.0
07/10/2020 15:32:38,Interval,13.52,30.88,55.9,0.36,13.21,271.0,244.0
07/10/2020 15:32:39,Interval,12.68,30.48,55.6,0.33,13.22,271.0,243.0
07/10/2020 15:32:40,Interval,13.06,30.43,55.6,0.33,13.23,271.0,245.0
07/10/2020 15:32:41,Interval,13.37,30.74,55.9,0.34,13.25,271.0,246.0
07/10/2020 15:32:42,Interval,13.79,30.83,56.0,0.26,13.27,271.0,235.0
07/10/2020 15:32:43,Interval,12.62,30.53,56.7,0.30,13.28,271.0,249.0
07/10/2020 15:32:44,Interval,12.19,31.45,57.3,0.32,13.30,271.0,262.0
07/10/2020 15:32:45,Interval,12.46,30.90,56.9,0.30,13.32,271.0,254.0
07/10/2020 15:32:46,Interval,15.22,32.11,58.8,0.42,13.34,271.0,258.0
07/10/2020 15:32:47,Interval,15.72,33.11,59.5,0.46,13.35,271.0,255.0
07/10/2020 15:32:48,Interval,16.75,33.66,60.2,0.50,13.26,271.0,256.0
07/10/2020 15:32:49,Interval,16.10,33.68,60.0,0.50,13.25,271.0,256.0
07/10/2020 15:32:50,Interval,16.92,33.38,60.0,0.47,13.26,271.0,260.0
07/10/2020 15:32:51,Interval,15.73,32.87,59.4,0.44,13.26,271.0,256.0
07/10/2020 15:32:52,Interval,15.34,32.61,58.4,0.36,13.23,271.0,260.0
07/10/2020 15:32:53,Interval,14.72,32.92,59.6,0.42,13.23,271.0,267.0
07/10/2020 15:32:54,Interval,14.95,33.21,60.4,0.42,13.27,271.0,269.0
07/10/2020 15:32:55,Interval,14.05,33.71,61.0,0.46,13.33,271.0,270.0
07/10/2020 15:32:56,Interval,13.71,33.16,60.0,0.36,13.36,271.0,270.0
07/10/2020 15:32:57,Interval,13.54,32.37,59.4,0.37,13.42,271.0,268.0
07/10/2020 15:32:58,Interval,13.10,32.55,59.6,0.36,13.47,271.0,264.0
07/10/2020 15:32:59,Interval,13.02,32.53,59.5,0.36,13.51,271.0,262.0
07/10/2020 15:33:00,Interval,12.31,32.00,59.0,0.30,13.55,271.0,263.0
07/10/2020 15:33:01,Interval,12.21,32.67,59.9,0.36,13.60,271.0,263.0
07/10/2020 15:33:02,Interval,12.38,32.88,60.4,0.31,13.64,271.0,250.0
07/10/2020 15:33:03,Interval,12.95,33.50,61.8,0.39,13.68,271.0,264.0
07/10/2020 15:33:04,Interval,13.47,33.48,61.6,0.36,13.72,271.0,260.0
07/10/2020 15:33:05,Interval,13.38,33.96,62.0,0.39,13.75,271.0,254.0
07/10/2020 15:33:06,Interval,12.93,33.40,61.3,0.34,13.75,271.0,250.0
07/10/2020 15:33:07,Interval,13.79,33.35,61.3,0.32,13.74,271.0,257.0
07/10/2020 15:33:08,Interval,12.93,33.19,61.2,0.37,13.73,271.0,254.0
07/10/2020 15:33:09,Interval,13.24,33.08,61.1,0.32,13.72,271.0,249.0
07/10/2020 15:33:10,Interval,12.79,32.60,60.4,0.27,13.69,271.0,260.0
07/10/2020 15:33:11,Interval,13.43,32.38,60.2,0.30,13.63,271.0,259.0
